ts_code,trade_date,open,high,low,close,vol,amount,pre_close,change,pct_chg
002466.SZ,20260508,78.3,80.83,76.0,76.05,1020732.65,7929999.299,79.06,-3.01,-3.8072
002466.SZ,20260511,76.83,78.27,75.57,77.37,804775.18,6190827.592,76.05,1.32,1.7357
002466.SZ,20260512,77.86,77.99,73.6,74.75,868374.52,6509181.533,77.37,-2.62,-3.3863
002466.SZ,20260513,74.01,76.2,73.6,74.38,766614.57,5724658.841,74.75,-0.37,-0.495
002466.SZ,20260514,73.68,74.38,70.68,70.69,847468.71,6127287.947,74.38,-3.69,-4.961
002466.SZ,20260515,71.06,71.42,68.86,69.11,700171.71,4901104.489,70.69,-1.58,-2.2351
002466.SZ,20260518,68.85,71.16,68.2,69.38,570798.72,3979932.463,69.11,0.27,0.3907
002466.SZ,20260519,68.5,68.5,65.61,66.58,691411.57,4593401.536,69.38,-2.8,-4.0357
002466.SZ,20260520,65.76,69.39,65.26,68.16,761690.42,5131094.553,66.58,1.58,2.3731
002466.SZ,20260521,68.48,69.38,65.68,65.78,644388.03,4366907.105,68.16,-2.38,-3.4918
002466.SZ,20260522,65.78,66.83,64.68,66.52,512094.19,3379785.048,65.78,0.74,1.125
002466.SZ,20260525,67.07,68.08,65.79,66.67,533716.22,3558986.436,66.52,0.15,0.2255
002466.SZ,20260526,66.0,66.85,64.2,66.4,498142.08,3273407.528,66.67,-0.27,-0.405
002466.SZ,20260527,66.47,67.8,64.2,64.48,595372.35,3931337.331,66.4,-1.92,-2.8916
002466.SZ,20260528,65.62,66.3,62.5,64.39,537589.35,3432614.831,64.48,-0.09,-0.1396
002466.SZ,20260529,64.71,65.39,62.62,62.88,488074.76,3116542.352,64.39,-1.51,-2.3451
002466.SZ,20260601,62.88,64.29,62.05,62.17,449103.73,2838832.018,62.88,-0.71,-1.1291
002466.SZ,20260602,62.07,62.33,59.28,61.29,548125.22,3315221.601,62.17,-0.88,-1.4155
002466.SZ,20260603,60.5,61.97,60.04,60.98,432098.97,2642313.9,61.29,-0.31,-0.5058
002466.SZ,20260604,60.53,60.6,59.17,59.46,430925.62,2569958.094,60.98,-1.52,-2.4926
002466.SZ,20260605,59.46,61.2,57.81,59.06,574124.33,3416563.652,59.46,-0.4,-0.6727
002466.SZ,20260608,58.0,59.96,54.87,56.2,573545.7,3272193.367,59.06,-2.86,-4.8425
002466.SZ,20260609,57.0,60.86,55.7,60.01,739522.55,4301943.69186,56.2,3.81,6.7794
002466.SZ,20260610,59.5,61.6,58.47,59.48,708032.81,4243617.39722,60.01,-0.53,-0.8832
002466.SZ,20260611,59.26,62.6,58.66,61.0,926710.36,5615613.50775,59.48,1.52,2.5555
002466.SZ,20260612,61.0,63.42,60.15,62.5,990333.98,6140893.9855,61.0,1.5,2.459
002466.SZ,20260615,62.99,64.27,61.85,63.72,930167.86,5857256.51746,62.5,1.22,1.952
002466.SZ,20260616,63.14,65.0,62.0,63.99,795034.32,5056334.24543,63.72,0.27,0.4237
002466.SZ,20260617,64.49,65.82,63.6,64.04,707653.74,4567795.65254,63.99,0.05,0.0781
002466.SZ,20260618,62.82,64.09,61.61,62.18,746908.33,4675288.34402,64.04,-1.86,-2.9044
002466.SZ,20260622,59.05,65.0,58.58,64.97,934530.23,5791708.69213,62.18,2.79,4.487
002466.SZ,20260623,64.53,65.25,61.03,61.32,693784.02,4359734.97746,64.97,-3.65,-5.618
002466.SZ,20260624,61.32,66.5,60.71,66.13,969650.47,6236054.29026,61.32,4.81,7.8441
002466.SZ,20260625,66.0,67.44,64.03,64.64,847013.87,5545646.99388,66.13,-1.49,-2.2531
002466.SZ,20260626,64.1,65.0,58.89,58.92,880823.65,5378707.0253,64.64,-5.72,-8.849
002466.SZ,20260629,58.2,60.79,56.79,59.87,601195.5,3543145.18877,58.92,0.95,1.6124
002466.SZ,20260630,59.9,62.46,59.13,61.32,580664.56,3532542.33109,59.87,1.45,2.4219
002466.SZ,20260701,61.8,63.45,59.42,62.29,694242.98,4280310.59742,61.32,0.97,1.5819
002466.SZ,20260702,62.0,62.5,59.83,60.01,544007.26,3309576.50299,62.29,-2.28,-3.6603
002466.SZ,20260703,61.0,61.42,58.63,58.66,491594.56,2924656.05324,60.01,-1.35,-2.2496
