ts_code,trade_date,open,close,high,low,vol,amount,pct_chg,change
09696.HK,20260116,57.25,55.4,59.0,54.5,5274000.0,293383344.0,-2.98,-1.7
09696.HK,20260119,55.4,54.1,55.45,53.75,2260604.0,122690512.0,-2.35,-1.3
09696.HK,20260120,54.95,54.4,55.5,53.0,3893998.0,210857340.0,0.55,0.3
09696.HK,20260121,54.55,57.0,57.0,54.2,4413264.0,246978013.0,4.78,2.6
09696.HK,20260122,57.0,55.55,57.8,54.95,3310403.0,185551400.0,-2.54,-1.45
09696.HK,20260123,56.8,58.0,58.55,56.0,7013262.0,403023392.0,4.41,2.45
09696.HK,20260126,59.0,57.35,60.3,57.05,5803900.0,340508064.0,-1.12,-0.65
09696.HK,20260127,57.0,57.25,58.35,55.6,4388520.0,247522814.0,-0.17,-0.1
09696.HK,20260128,57.75,57.0,57.75,55.0,6369029.0,358371056.0,-0.44,-0.25
09696.HK,20260129,56.0,55.1,56.05,53.8,5307708.0,292251200.0,-3.33,-1.9
09696.HK,20260130,54.25,49.42,54.25,49.18,8450302.0,426119392.0,-10.31,-5.68
09696.HK,20260202,47.5,48.18,49.46,46.9,4495800.0,217710905.0,-2.51,-1.24
09696.HK,20260203,49.4,49.5,50.3,48.7,3023800.0,149958073.0,2.74,1.32
09696.HK,20260205,47.36,42.9,47.36,42.7,13362022.0,585632656.0,-13.33,-6.6
09696.HK,20260206,41.4,42.86,43.56,40.92,6987168.0,298445520.0,-0.09,-0.04
09696.HK,20260209,43.5,43.34,44.36,42.72,6124862.0,265779980.0,1.12,0.48
09696.HK,20260210,43.56,42.5,43.56,42.46,3573000.0,153202313.0,-1.94,-0.84
09696.HK,20260211,42.08,43.42,43.42,41.52,11867478.0,507438496.0,2.16,0.92
09696.HK,20260212,43.5,43.4,43.86,42.92,8457904.0,366548480.0,-0.05,-0.02
09696.HK,20260213,42.96,42.8,43.32,42.32,6890788.0,295080240.0,-1.38,-0.6
09696.HK,20260216,43.44,44.14,44.8,43.02,1893600.0,83387047.0,3.13,1.34
09696.HK,20260220,44.98,44.1,45.0,42.8,1606000.0,70160999.0,-0.09,-0.04
09696.HK,20260223,44.52,45.32,46.0,44.52,3135019.0,142276589.0,2.77,1.22
09696.HK,20260224,45.02,46.3,46.86,44.68,9397852.0,430842832.0,2.16,0.98
09696.HK,20260225,46.82,47.5,48.52,46.18,8058326.0,383636640.0,2.59,1.2
09696.HK,20260226,50.4,47.8,50.95,47.8,12189600.0,598864320.0,0.63,0.3
09696.HK,20260227,47.18,48.14,49.0,47.16,6355000.0,305449728.0,0.71,0.34
09696.HK,20260302,47.14,46.42,48.14,46.02,5963200.0,279107312.0,-3.57,-1.72
09696.HK,20260303,46.0,42.68,47.0,42.68,7798800.0,345196784.0,-8.06,-3.74
09696.HK,20260304,42.68,42.94,44.14,42.16,4328000.0,186420080.0,0.61,0.26
09696.HK,20260305,44.32,43.36,44.66,43.02,3544600.0,155025867.0,0.98,0.42
09696.HK,20260306,43.36,43.08,44.26,42.88,3385000.0,147442996.0,-0.65,-0.28
09696.HK,20260309,41.38,43.06,43.64,40.72,5371364.0,226975540.0,-0.05,-0.02
09696.HK,20260310,43.72,44.4,45.26,43.72,3270871.0,145464401.0,3.11,1.34
09696.HK,20260311,44.4,44.2,45.2,44.0,3033340.0,135232484.0,-0.45,-0.2
09696.HK,20260312,44.4,43.2,44.56,42.86,2040140.0,88570047.0,-2.26,-1.0
09696.HK,20260313,43.3,43.66,45.12,43.2,4041600.0,178368125.0,1.06,0.46
09696.HK,20260316,43.76,43.14,43.76,41.96,3245892.0,138766465.0,-1.19,-0.52
09696.HK,20260317,43.58,41.8,43.86,41.8,2882336.0,123167745.0,-3.11,-1.34
09696.HK,20260318,41.8,41.12,42.18,41.02,2765400.0,114562536.0,-1.63,-0.68
09696.HK,20260319,40.7,40.02,41.02,39.62,3239844.0,129971313.0,-2.68,-1.1
09696.HK,20260320,40.3,40.46,42.76,39.86,5438260.0,224401659.0,1.1,0.44
09696.HK,20260323,40.0,39.88,41.42,39.3,4208164.0,168856372.0,-1.43,-0.58
09696.HK,20260324,41.1,42.22,42.58,39.1,6101900.0,250517521.0,5.87,2.34
09696.HK,20260325,43.5,45.0,45.58,43.5,8184640.0,365621360.0,6.58,2.78
09696.HK,20260326,45.22,44.98,46.56,44.6,6784600.0,308451744.0,-0.04,-0.02
09696.HK,20260327,43.98,47.74,48.58,43.96,12115600.0,569426288.0,6.14,2.76
09696.HK,20260330,48.5,47.8,49.28,46.7,6780745.0,324115136.0,0.13,0.06
09696.HK,20260331,47.02,45.94,48.46,45.58,6527400.0,304853808.0,-3.89,-1.86
09696.HK,20260401,47.0,45.58,47.16,45.32,3877000.0,178512968.0,-0.78,-0.36
09696.HK,20260402,45.82,46.52,47.46,45.2,5814392.0,269876576.0,2.06,0.94
09696.HK,20260408,47.12,49.12,50.5,46.5,6581907.0,320546576.0,5.59,2.6
